factual_id,name,address,address_extended,po_box,locality,region,post_town,admin_region,postcode,country,tel,fax,latitude,longitude,neighborhood,website,email,category_ids,category_labels,status,chain_name,chain_id
79f07667-551f-4d4a-ba2e-0a58d8bc508e,La Cimbali Espresso Machines,1501 W Olympic Blvd,,,Los Angeles,CA,,,90015,us,(213) 739-8826,,34.048476,-118.272889,Westlake,,,347,Social#Food and Dining#Restaurants,1,,null
8f68252c-d5b5-4910-8a23-e7297303fd98,Juicy N Spicy,110 E 9th St,,,Los Angeles,CA,,,90079,us,(213) 327-2073,,34.041084,-118.254909,Historic Core#Fashion District#Downtown Los Angeles#Central LA#Downtown,,,347,Social#Food and Dining#Restaurants,1,,null
5b5b9120-bb08-4753-b487-b36c5682e8b2,Harvelle's Blues Club,6528 Kentwood Bluffs Dr,,,Los Angeles,CA,,,90045,us,(310) 395-1676,,33.978391,-118.40244,Del Rey#Playa Vista,http://harvelles.com,,347,Social#Food and Dining#Restaurants,1,,null
0c95b290-cd40-012e-5616-003048cad9da,Doomie's Home Cookin,1253 Vine St,Ste 9,,Los Angeles,CA,,,90038,us,(323) 469-4897,,34.094032,-118.327174,Hollywood#Central LA#New Chinatown#Chinatown#Naud Junction#Little Tokyo#Civic Center#Historic Core#Downtown Los Angeles#Wilcox#Hollywood Studio District,http://www.facebook.com/doomieshomecookin,doomieveg@gmail.com,347,Social#Food and Dining#Restaurants,1,,null
757d0e20-9dea-42c3-86f4-2ee66032956e,Oxy Cafe,4862 Eagle Rock Blvd,,,Los Angeles,CA,,,90041,us,(323) 257-7343,,34.125496,-118.219416,Eagle Rock#East LA#Colorado Boulevard#Civic Center#Little Tokyo#Historic Core#Downtown Los Angeles#Northeast Los Angeles,,,347,Social#Food and Dining#Restaurants,1,,null
e7af5f60-21f3-4b0b-8705-57c779dcce6e,Gregs Place,10801 National Blvd,Ste 107,,Los Angeles,CA,,,90064,us,(310) 474-3522,,34.030743,-118.420795,Home Junction#Palms,,,347,Social#Food and Dining#Restaurants,1,,null
e8c8b3de-5f9e-4c16-844d-938f497ee2ae,Paleteria Bety's,1834 James M Wood Blvd,,,Los Angeles,CA,,,90006,us,(213) 386-3913,,34.051974,-118.276002,Westlake#Pico Heights#Downtown Los Angeles#Civic Center#Little Tokyo#Historic Core,,,347,Social#Food and Dining#Restaurants,1,,null
0b45a4a9-ef31-4d36-bf45-14c9ee112eb9,Nathan's Kosherland,1636 Westwood Blvd,,,Los Angeles,CA,,,90024,us,(310) 441-0394,(310) 441-2892,34.052338,-118.439058,Westwood#Little Persia#West LA#Westwood Village#Norma Triangle#Benedict Canyon#Civic Center#Historic Core#Little Tokyo#Downtown Los Angeles#thewestsidecity#West Los Angeles,http://www.nathanskosherland.com,,347,Social#Food and Dining#Restaurants,1,,null
d4984369-d83b-4192-9b26-c80b6e9811c1,Latinos Pizza,5629 N Figueroa St,,,Los Angeles,CA,,,90042,us,(323) 255-0050,,34.10951,-118.193318,Highland Park#Hermon,,,347,Social#Food and Dining#Restaurants,1,,null
71de2dc0-bef8-012e-5614-003048cad9da,Koo Yi Chon,4032 W Olympic Blvd,,,Los Angeles,CA,,,90019,us,(323) 634-9292,,34.053994,-118.32123,Mid-Wilshire,,,347,Social#Food and Dining#Restaurants,1,,null
71d440c0-bef8-012e-5614-003048cad9da,Ciaga,79943 W Sunset Blvd,,,Los Angeles,CA,,,90001,us,(323) 656-5022,,,,Angelino Heights,,,347,Social#Food and Dining#Restaurants,1,,null
1cbc1b11-988d-4b71-9d79-1ffa01f80442,Sushi Koo,8474 W 3rd St,,,Los Angeles,CA,,,90048,us,(323) 653-3959,,34.072991,-118.3754,Miracle Mile#Briggs#Fairfax District#Central Sunset#Inner Sunset,,,347,Social#Food and Dining#Restaurants,1,,null
ebb61b0f-b015-4f08-9e14-c27c337e5a55,Layla Mediterranean Cafe,11906 Wilshire Blvd,,,Los Angeles,CA,,,90025,us,(310) 310-2999,(310) 310-2906,34.046366,-118.464416,West L.A.#Sawtelle#Rustic Canyon#West Los Angeles#Home Junction#thewestsidecity#Little Persia#Golden Triangle#Rodeo Drive#Century City#Westside Village,http://www.laylacafe.com,laylawilshire@gmail.com,347,Social#Food and Dining#Restaurants,1,,null
89f477c0-e283-48c0-a130-333cb42ada58,Social Hollywood,6525 W Sunset Blvd,,,Los Angeles,CA,,,90028,us,(323) 462-5222,(213) 624-9746,34.098405,-118.332212,Hollywood#Yucca Corridor#Central LA#Historic Core#Downtown Los Angeles#Little Tokyo#Civic Center#Santa Western#Hollywood Studio District,http://www.socialhollywood.com,,347,Social#Food and Dining#Restaurants,1,,null
7289f97d-0c46-424e-b8f8-516f9a9a5e0b,Saigon Sandwich,828 N Broadway,,,Los Angeles,CA,,,90012,us,(213) 625-8721,,34.062855,-118.237893,Chinatown#New Chinatown#Chinatown-Little Tokyo#Historic Core#Downtown Los Angeles#Little Tokyo#Civic Center,,,347,Social#Food and Dining#Restaurants,1,,null
4c48632e-a4b8-490b-ac8c-7840360c2dfd,Frankie and Tiny's,2300 Merton Ave,,,Los Angeles,CA,,,90041,us,(213) 448-8072,,34.137901,-118.216245,Eagle Rock#Colorado Boulevard,,,347,Social#Food and Dining#Restaurants,1,,null
64f4858f-7cfa-4001-a4b8-388ed043c371,Vida,1850 N Vermont Ave,,,Los Angeles,CA,,,90027,us,(323) 662-1248,,34.104561,-118.291712,Little Armenia#Greater Griffith Park#Franklin Hills,,,347,Social#Food and Dining#Restaurants,1,,null
d0cf0f81-dd66-45bf-b22a-40a9d718cd44,New Ginza Restaurant,2524 Virginia Rd,,,Los Angeles,CA,,,90016,us,(323) 733-3232,,34.033054,-118.338892,Lafayette Square#West Adams,,,347,Social#Food and Dining#Restaurants,1,,null
